casos;tos;dolor de garganta;fiebre;cansancio;dolor de cabeza;tengo covid;sintomas covid;test covid;prediction;fecha;Prediction 2
7806.0;53.0;14.0;94.0;4.0;16.0;3.0;22.0;6.0;5.271.139.089.944.100;13/3/20;5271
7467.0;51.0;14.0;92.0;3.0;18.0;1.0;18.0;5.0;37.620.876.217.560.300;14/3/20;37621
7937.0;50.0;18.0;100.0;4.0;17.0;1.0;26.0;7.0;28.928.754.613.475.600;15/3/20;28929
9473.0;47.0;11.0;79.0;2.0;18.0;2.0;22.0;6.0;6.641.572.447.997.710;16/3/20;6642
8837.0;44.0;15.0;73.0;2.0;14.0;3.0;24.0;6.0;658.260.267.678.477;17/3/20;658
8970.0;39.0;11.0;79.0;2.0;16.0;5.0;22.0;9.0;5.636.881.052.302.050;18/3/20;5637
8664.0;43.0;13.0;68.0;4.0;15.0;2.0;32.0;13.0;8.557.917.294.854.600;19/3/20;8558
10662.0;47.0;14.0;67.0;3.0;18.0;3.0;33.0;9.0;1.046.281.513.211.870;20/3/20;1046
7426.0;41.0;15.0;75.0;4.0;17.0;1.0;23.0;33.0;7.208.143.948.010.450;21/3/20;7208
6777.0;46.0;12.0;72.0;2.0;14.0;4.0;39.0;13.0;11.936.280.685.071.300;22/3/20;11936
8265.0;36.0;11.0;52.0;2.0;20.0;2.0;14.0;14.0;6.980.399.544.569.560;23/3/20;6980
7127.0;28.0;9.0;55.0;2.0;18.0;1.0;20.0;8.0;40.931.087.530.069.700;24/3/20;40931
6947.0;29.0;10.0;48.0;4.0;16.0;4.0;23.0;11.0;6.595.725.941.792.770;25/3/20;6596
6361.0;34.0;12.0;57.0;3.0;16.0;4.0;17.0;14.0;619.011.219.007.907;26/3/20;619
6063.0;36.0;15.0;66.0;4.0;21.0;2.0;16.0;12.0;356.075.318.693.127;27/3/20;356
5364.0;37.0;16.0;66.0;5.0;28.0;3.0;22.0;13.0;53.312.552.913.236.400;28/3/20;53313
4245.0;38.0;13.0;69.0;3.0;24.0;5.0;10.0;11.0;4.596.811.354.638.610;29/3/20;4597
5154.0;31.0;10.0;54.0;4.0;16.0;2.0;17.0;9.0;4.108.839.860.673.650;30/3/20;4109
4417.0;30.0;10.0;62.0;2.0;19.0;5.0;14.0;11.0;4.485.771.061.572.270;31/3/20;4486
5490.0;30.0;10.0;49.0;5.0;15.0;3.0;17.0;11.0;4.773.225.171.906.690;1/4/20;4773
4453.0;27.0;14.0;40.0;4.0;24.0;5.0;16.0;14.0;6.509.522.888.699.630;2/4/20;6510
4465.0;21.0;10.0;48.0;4.0;20.0;4.0;14.0;10.0;2.470.412.110.638.580;3/4/20;2470
3670.0;26.0;10.0;46.0;2.0;20.0;3.0;13.0;12.0;4.849.420.114.026.610;4/4/20;4849
3220.0;20.0;14.0;41.0;4.0;18.0;5.0;8.0;14.0;23.480.674.971.508.700;5/4/20;23481
3537.0;19.0;10.0;36.0;5.0;23.0;4.0;10.0;15.0;33.421.607.689.270.800;6/4/20;33422
3201.0;18.0;6.0;41.0;4.0;23.0;3.0;11.0;19.0;35.749.725.896.906.000;7/4/20;35750
3481.0;21.0;9.0;32.0;3.0;18.0;1.0;12.0;18.0;48.340.813.328.289.500;8/4/20;48341
3288.0;26.0;9.0;51.0;8.0;21.0;4.0;21.0;21.0;4.898.712.118.095.580;9/4/20;4899
3181.0;22.0;6.0;34.0;5.0;15.0;3.0;13.0;16.0;506.747.345.101.066;10/4/20;507
2887.0;19.0;8.0;34.0;4.0;21.0;5.0;14.0;16.0;5.544.710.108.750.520;11/4/20;5545
2266.0;20.0;6.0;30.0;4.0;18.0;1.0;14.0;13.0;4.579.105.241.782.120;12/4/20;4579
2200.0;15.0;8.0;46.0;3.0;16.0;4.0;10.0;29.0;31.491.201.576.384.200;13/4/20;31491
2270.0;17.0;10.0;36.0;6.0;23.0;6.0;13.0;33.0;6.050.796.519.143.870;14/4/20;6051
2388.0;15.0;6.0;35.0;4.0;15.0;10.0;16.0;22.0;7.340.314.639.116.640;15/4/20;7340
2297.0;17.0;8.0;30.0;3.0;18.0;1.0;15.0;22.0;5.108.526.203.478.260;16/4/20;5109
1918.0;23.0;9.0;40.0;6.0;17.0;5.0;10.0;24.0;5.024.501.875.285.050;17/4/20;5025
1679.0;14.0;8.0;31.0;7.0;18.0;3.0;15.0;22.0;31.853.976.776.837.500;18/4/20;31854
1153.0;21.0;9.0;31.0;4.0;19.0;1.0;12.0;21.0;5.023.786.089.040.020;19/4/20;5024
1492.0;12.0;4.0;30.0;4.0;12.0;3.0;16.0;19.0;40.244.320.768.570.400;20/4/20;40244
1337.0;13.0;7.0;23.0;4.0;16.0;2.0;9.0;24.0;41.189.671.922.306.100;21/4/20;41190
1481.0;18.0;7.0;28.0;3.0;14.0;5.0;11.0;34.0;8.168.155.549.131.390;22/4/20;8168
1191.0;14.0;7.0;26.0;7.0;16.0;3.0;14.0;32.0;5.134.704.511.432.450;23/4/20;5135
1136.0;11.0;5.0;29.0;5.0;17.0;4.0;9.0;30.0;41.235.257.902.223.800;24/4/20;41235
763.0;14.0;10.0;33.0;3.0;18.0;3.0;7.0;37.0;4.715.801.710.475.180;25/4/20;4716
564.0;17.0;5.0;39.0;5.0;19.0;3.0;8.0;26.0;3.466.866.745.701.610;26/4/20;3467
709.0;13.0;5.0;28.0;4.0;13.0;5.0;11.0;36.0;6.688.613.800.864.880;27/4/20;6689
864.0;9.0;3.0;24.0;4.0;15.0;4.0;14.0;30.0;5.794.253.383.371.960;28/4/20;5794
759.0;14.0;6.0;26.0;3.0;10.0;4.0;9.0;34.0;6.370.796.185.674.060;29/4/20;6371
756.0;14.0;7.0;24.0;5.0;13.0;1.0;8.0;38.0;4.964.595.457.689.020;30/4/20;4965
741.0;14.0;9.0;25.0;4.0;23.0;1.0;9.0;16.0;271.991.407.256.164;1/5/20;272
670.0;16.0;6.0;24.0;6.0;22.0;4.0;12.0;25.0;60.667.422.759.121.400;2/5/20;60667
462.0;14.0;6.0;29.0;6.0;19.0;4.0;13.0;14.0;3.245.519.603.660.920;3/5/20;3246
524.0;10.0;6.0;25.0;4.0;15.0;4.0;13.0;27.0;49.221.939.854.783.500;4/5/20;49222
325.0;10.0;4.0;23.0;3.0;19.0;5.0;9.0;29.0;60.853.478.508.149.900;5/5/20;60853
310.0;10.0;4.0;20.0;8.0;21.0;3.0;15.0;29.0;4.880.438.633.490.070;6/5/20;4880
310.0;15.0;3.0;27.0;5.0;12.0;5.0;11.0;38.0;7.579.747.842.694.870;7/5/20;7580
314.0;11.0;6.0;27.0;6.0;16.0;4.0;9.0;35.0;44.756.736.394.339.800;8/5/20;44757
263.0;9.0;8.0;25.0;5.0;18.0;4.0;11.0;31.0;4.203.397.304.969.790;9/5/20;4203
280.0;10.0;7.0;22.0;7.0;13.0;3.0;13.0;21.0;26.917.361.988.652.600;10/5/20;26917
591.0;11.0;8.0;26.0;6.0;12.0;5.0;11.0;30.0;4.243.002.240.312.240;11/5/20;4243
558.0;9.0;5.0;21.0;4.0;13.0;4.0;12.0;40.0;6.796.735.962.067.900;12/5/20;6797
598.0;13.0;3.0;23.0;4.0;18.0;3.0;15.0;46.0;9.251.880.982.980.920;13/5/20;9252
541.0;8.0;5.0;26.0;5.0;18.0;8.0;15.0;32.0;6.709.253.387.796.110;14/5/20;6709
579.0;10.0;5.0;22.0;7.0;16.0;3.0;14.0;35.0;5.180.567.579.638.320;15/5/20;5181
328.0;10.0;4.0;23.0;8.0;21.0;3.0;15.0;27.0;4.156.102.395.870.270;16/5/20;4156
305.0;15.0;6.0;23.0;6.0;15.0;0.0;14.0;18.0;3.340.332.251.518.590;17/5/20;3340
566.0;12.0;3.0;29.0;2.0;13.0;5.0;12.0;25.0;6.078.271.626.566.210;18/5/20;6078
591.0;9.0;3.0;23.0;4.0;13.0;5.0;12.0;27.0;5.491.077.781.807.430;19/5/20;5491
489.0;4.0;4.0;28.0;5.0;10.0;1.0;15.0;19.0;27.370.078.821.743.500;20/5/20;27370
524.0;7.0;6.0;21.0;7.0;16.0;6.0;10.0;27.0;3.674.073.017.101.840;21/5/20;3674
573.0;8.0;4.0;22.0;5.0;11.0;1.0;11.0;22.0;21.685.862.249.813.500;22/5/20;21686
326.0;6.0;3.0;31.0;7.0;16.0;2.0;8.0;16.0;-11.932.796.174.215.100;23/5/20;-11933
316.0;9.0;7.0;20.0;3.0;13.0;4.0;12.0;20.0;4.421.425.690.886.580;24/5/20;4421
572.0;7.0;4.0;27.0;5.0;13.0;7.0;7.0;26.0;34.480.102.510.202.900;25/5/20;34480
564.0;13.0;5.0;19.0;6.0;12.0;2.0;18.0;29.0;6.333.065.146.567.150;26/5/20;6333
437.0;10.0;7.0;27.0;4.0;13.0;2.0;9.0;28.0;29.270.354.464.855.900;27/5/20;29270
521.0;9.0;4.0;21.0;3.0;16.0;4.0;12.0;17.0;4.481.834.098.890.550;28/5/20;4482
507.0;7.0;4.0;19.0;4.0;12.0;4.0;16.0;20.0;4.673.987.443.353.810;29/5/20;4674
315.0;11.0;5.0;24.0;7.0;13.0;3.0;11.0;20.0;25.023.346.202.719.700;30/5/20;25023
232.0;10.0;5.0;21.0;9.0;21.0;6.0;10.0;15.0;26.298.753.815.657.500;31/5/20;26299
442.0;7.0;5.0;25.0;7.0;10.0;3.0;12.0;31.0;25.623.319.562.486.200;1/6/20;25623
411.0;7.0;3.0;25.0;12.0;8.0;3.0;11.0;19.0;-10.600.434.570.061.200;2/6/20;-10600
452.0;8.0;8.0;19.0;4.0;13.0;3.0;10.0;18.0;264.948.709.072.207;3/6/20;265
408.0;9.0;5.0;19.0;7.0;12.0;3.0;13.0;17.0;25.597.357.548.672.600;4/6/20;25597
489.0;5.0;2.0;17.0;5.0;11.0;3.0;14.0;24.0;3.932.872.928.637.260;5/6/20;3933
259.0;9.0;4.0;20.0;5.0;16.0;4.0;5.0;8.0;13.309.559.319.546.400;6/6/20;13310
235.0;14.0;4.0;21.0;7.0;17.0;4.0;6.0;16.0;32.305.452.049.976.400;7/6/20;32305
432.0;10.0;5.0;19.0;4.0;10.0;2.0;12.0;15.0;314.509.055.553.114;8/6/20;315
355.0;9.0;3.0;21.0;5.0;15.0;2.0;11.0;17.0;2.750.018.340.672.780;9/6/20;2750
373.0;6.0;4.0;14.0;5.0;13.0;1.0;6.0;14.0;8.864.497.966.586.800;10/6/20;8864
334.0;7.0;5.0;28.0;7.0;17.0;3.0;10.0;16.0;11.522.771.943.620.600;11/6/20;11523
379.0;3.0;2.0;25.0;6.0;16.0;1.0;9.0;17.0;-7.549.702.915.895.750;12/6/20;-7550
164.0;6.0;5.0;26.0;4.0;18.0;3.0;9.0;14.0;9.414.099.264.263.710;13/6/20;9414
187.0;9.0;3.0;22.0;4.0;13.0;1.0;9.0;9.0;10.669.334.525.630.600;14/6/20;10669
331.0;5.0;3.0;24.0;6.0;14.0;4.0;12.0;14.0;11.740.177.858.159.100;15/6/20;11740
308.0;6.0;2.0;23.0;4.0;11.0;1.0;5.0;16.0;19.383.398.739.795.500;16/6/20;19383
