casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,tengo covid,sintomas covid,test covid,prediction,fecha
564.0,17.0,5.0,39.0,5.0,19.0,3.0,8.0,26.0,3466.866745701618,26/4/20
709.0,13.0,5.0,28.0,4.0,13.0,5.0,11.0,36.0,6688.613800864882,27/4/20
864.0,9.0,3.0,24.0,4.0,15.0,4.0,14.0,30.0,5794.253383371964,28/4/20
759.0,14.0,6.0,26.0,3.0,10.0,4.0,9.0,34.0,6370.796185674069,29/4/20
756.0,14.0,7.0,24.0,5.0,13.0,1.0,8.0,38.0,4964.595457689023,30/4/20
741.0,14.0,9.0,25.0,4.0,23.0,1.0,9.0,16.0,2719.91407256164,1/5/20
670.0,16.0,6.0,24.0,6.0,22.0,4.0,12.0,25.0,6066.7422759121455,2/5/20
462.0,14.0,6.0,29.0,6.0,19.0,4.0,13.0,14.0,3245.519603660922,3/5/20
524.0,10.0,6.0,25.0,4.0,15.0,4.0,13.0,27.0,4922.1939854783595,4/5/20
325.0,10.0,4.0,23.0,3.0,19.0,5.0,9.0,29.0,6085.3478508149965,5/5/20
310.0,10.0,4.0,20.0,8.0,21.0,3.0,15.0,29.0,4880.438633490073,6/5/20
310.0,15.0,3.0,27.0,5.0,12.0,5.0,11.0,38.0,7579.747842694875,7/5/20
314.0,11.0,6.0,27.0,6.0,16.0,4.0,9.0,35.0,4475.6736394339805,8/5/20
263.0,9.0,8.0,25.0,5.0,18.0,4.0,11.0,31.0,4203.397304969799,9/5/20
280.0,10.0,7.0,22.0,7.0,13.0,3.0,13.0,21.0,2691.7361988652638,10/5/20
591.0,11.0,8.0,26.0,6.0,12.0,5.0,11.0,30.0,4243.002240312249,11/5/20
558.0,9.0,5.0,21.0,4.0,13.0,4.0,12.0,40.0,6796.735962067904,12/5/20
598.0,13.0,3.0,23.0,4.0,18.0,3.0,15.0,46.0,9251.880982980929,13/5/20
541.0,8.0,5.0,26.0,5.0,18.0,8.0,15.0,32.0,6709.253387796117,14/5/20
579.0,10.0,5.0,22.0,7.0,16.0,3.0,14.0,35.0,5180.567579638324,15/5/20
328.0,10.0,4.0,23.0,8.0,21.0,3.0,15.0,27.0,4156.102395870275,16/5/20
305.0,15.0,6.0,23.0,6.0,15.0,0.0,14.0,18.0,3340.332251518596,17/5/20
566.0,12.0,3.0,29.0,2.0,13.0,5.0,12.0,25.0,6078.271626566216,18/5/20
591.0,9.0,3.0,23.0,4.0,13.0,5.0,12.0,27.0,5491.077781807431,19/5/20
489.0,4.0,4.0,28.0,5.0,10.0,1.0,15.0,19.0,273.70078821743584,20/5/20
524.0,7.0,6.0,21.0,7.0,16.0,6.0,10.0,27.0,3674.073017101847,21/5/20
573.0,8.0,4.0,22.0,5.0,11.0,1.0,11.0,22.0,2168.5862249813526,22/5/20
326.0,6.0,3.0,31.0,7.0,16.0,2.0,8.0,16.0,-1193.2796174215182,23/5/20
316.0,9.0,7.0,20.0,3.0,13.0,4.0,12.0,20.0,4421.425690886584,24/5/20
572.0,7.0,4.0,27.0,5.0,13.0,7.0,7.0,26.0,3448.0102510202905,25/5/20
564.0,13.0,5.0,19.0,6.0,12.0,2.0,18.0,29.0,6333.065146567156,26/5/20
437.0,10.0,7.0,27.0,4.0,13.0,2.0,9.0,28.0,2927.0354464855955,27/5/20
521.0,9.0,4.0,21.0,3.0,16.0,4.0,12.0,17.0,4481.834098890557,28/5/20
507.0,7.0,4.0,19.0,4.0,12.0,4.0,16.0,20.0,4673.987443353819,29/5/20
315.0,11.0,5.0,24.0,7.0,13.0,3.0,11.0,20.0,2502.3346202719754,30/5/20
232.0,10.0,5.0,21.0,9.0,21.0,6.0,10.0,15.0,2629.8753815657597,31/5/20
442.0,7.0,5.0,25.0,7.0,10.0,3.0,12.0,31.0,2562.3319562486276,1/6/20
411.0,7.0,3.0,25.0,12.0,8.0,3.0,11.0,19.0,-1060.0434570061238,2/6/20
452.0,8.0,8.0,19.0,4.0,13.0,3.0,10.0,18.0,2649.48709072207,3/6/20
408.0,9.0,5.0,19.0,7.0,12.0,3.0,13.0,17.0,2559.7357548672603,4/6/20
489.0,5.0,2.0,17.0,5.0,11.0,3.0,14.0,24.0,3932.872928637261,5/6/20
259.0,9.0,4.0,20.0,5.0,16.0,4.0,5.0,8.0,1330.9559319546447,6/6/20
235.0,14.0,4.0,21.0,7.0,17.0,4.0,6.0,16.0,3230.5452049976493,7/6/20
432.0,10.0,5.0,19.0,4.0,10.0,2.0,12.0,15.0,3145.09055553114,8/6/20
355.0,9.0,3.0,21.0,5.0,15.0,2.0,11.0,17.0,2750.018340672783,9/6/20
373.0,6.0,4.0,14.0,5.0,13.0,1.0,6.0,14.0,886.4497966586805,10/6/20
334.0,7.0,5.0,28.0,7.0,17.0,3.0,10.0,16.0,115.22771943620683,11/6/20
379.0,3.0,2.0,25.0,6.0,16.0,1.0,9.0,17.0,-754.9702915895757,12/6/20
164.0,6.0,5.0,26.0,4.0,18.0,3.0,9.0,14.0,941.4099264263718,13/6/20
187.0,9.0,3.0,22.0,4.0,13.0,1.0,9.0,9.0,1066.9334525630682,14/6/20
