fecha,casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,suma_keys
7/4/20,3203,28,9,55,6,33,131
8/4/20,3480,40,13,57,5,26,141
9/4/20,3289,32,14,70,1,26,143
10/4/20,3179,28,6,33,1,26,94
11/4/20,2887,39,10,48,4,30,131
12/4/20,2266,18,13,49,6,31,117
13/4/20,2200,24,8,49,6,28,115
14/4/20,2270,33,11,55,6,29,134
15/4/20,2387,28,8,47,5,25,113
16/4/20,2297,26,10,46,7,34,123
17/4/20,1917,44,11,50,9,20,134
18/4/20,1680,29,13,55,7,26,130
19/4/20,1153,31,10,43,4,34,122
20/4/20,1490,19,8,40,7,30,104
21/4/20,1338,25,10,34,7,18,94
22/4/20,1481,23,9,42,1,21,96
23/4/20,1190,24,7,39,7,24,101
24/4/20,1135,18,13,39,8,29,107
25/4/20,764,17,11,68,2,23,121
26/4/20,564,16,6,46,6,26,100
27/4/20,709,19,6,51,6,23,105
28/4/20,866,19,9,46,6,27,107
29/4/20,758,15,10,49,7,20,101
30/4/20,756,24,8,35,6,23,96
1/5/20,741,20,13,31,8,28,100
2/5/20,670,22,10,43,8,31,114
3/5/20,459,24,3,47,7,28,109
4/5/20,524,23,10,43,7,26,109
5/5/20,324,16,6,38,4,23,87
6/5/20,310,13,3,43,6,25,90
7/5/20,311,18,4,38,8,18,86
8/5/20,325,13,8,29,13,16,79
9/5/20,280,12,9,43,5,29,98
10/5/20,286,17,3,32,9,16,77
11/5/20,589,16,10,34,7,21,88
12/5/20,537,13,7,36,5,22,83
13/5/20,587,13,8,39,9,20,89
14/5/20,531,16,9,35,11,22,93
15/5/20,588,10,6,35,11,27,89
16/5/20,340,17,4,49,19,33,122
17/5/20,305,15,6,34,12,26,93
18/5/20,559,12,6,46,5,15,84
19/5/20,588,8,5,28,10,16,67
20/5/20,483,8,10,42,8,15,83
21/5/20,519,13,3,22,11,23,72
22/5/20,567,16,7,35,4,14,76
23/5/20,337,14,6,47,13,19,99
24/5/20,315,14,11,36,6,25,92
25/5/20,567,7,4,40,5,20,76
26/5/20,566,14,7,31,12,23,87
27/5/20,430,19,6,31,6,16,78
28/5/20,518,12,5,33,6,24,80
29/5/20,499,13,4,31,5,18,71
30/5/20,318,10,8,44,8,15,85
31/5/20,232,18,13,28,14,24,97
1/6/20,437,13,8,39,9,13,82
2/6/20,406,8,3,22,13,8,54
3/6/20,447,11,6,28,10,19,74
4/6/20,404,15,6,32,9,18,80
5/6/20,485,9,9,33,8,18,77
6/6/20,262,15,8,29,11,28,91
7/6/20,236,19,6,38,11,27,101
8/6/20,421,7,6,31,10,12,66
9/6/20,360,9,3,28,8,19,67
10/6/20,367,7,7,23,5,23,65
11/6/20,329,11,7,42,8,26,94
12/6/20,373,4,3,28,13,21,69
13/6/20,165,9,6,35,9,20,79
14/6/20,190,4,2,34,8,24,72
15/6/20,329,7,6,33,7,21,74
16/6/20,308,12,4,38,7,16,77
17/6/20,304,10,7,31,10,16,74
18/6/20,308,10,6,30,11,22,79
19/6/20,294,10,4,33,17,13,77
20/6/20,276,11,7,26,12,28,84
21/6/20,251,13,6,37,10,28,94
22/6/20,324,9,0,23,8,21,61
23/6/20,356,8,5,39,12,19,83
24/6/20,408,9,3,32,11,20,75
25/6/20,370,10,5,31,12,14,72
26/6/20,413,4,7,22,11,21,65
27/6/20,322,4,7,32,7,16,66
28/6/20,280,16,4,37,9,19,85
29/6/20,422,11,8,34,11,19,83
30/6/20,459,7,8,34,8,21,78
1/7/20,572,11,9,35,6,16,77
2/7/20,443,10,6,38,12,29,95
3/7/20,576,10,6,33,12,20,81
4/7/20,461,10,4,40,16,30,100
5/7/20,451,12,12,54,9,29,116
6/7/20,741,9,8,42,12,21,92
7/7/20,827,9,17,57,14,20,117
8/7/20,938,14,1,38,14,24,91
9/7/20,953,8,7,37,11,22,85
10/7/20,1167,14,5,30,8,18,75
11/7/20,919,10,1,40,12,19,82
12/7/20,892,9,13,32,4,16,74
13/7/20,1439,19,9,42,10,27,107
14/7/20,1561,11,11,44,12,22,100
15/7/20,1891,17,10,34,11,30,102
16/7/20,1743,12,9,31,9,19,80
17/7/20,2062,10,9,42,8,24,93
18/7/20,1836,12,12,41,12,27,104
19/7/20,1639,16,7,52,11,29,115
20/7/20,2400,8,13,38,15,19,93
21/7/20,2410,6,6,42,16,26,96
22/7/20,2466,16,6,43,10,23,98
23/7/20,2309,20,9,37,12,29,107
24/7/20,2549,20,14,43,7,18,102
25/7/20,2123,26,12,41,3,23,105
26/7/20,1991,14,9,58,7,22,110
27/7/20,3048,13,11,29,7,18,78
28/7/20,3176,13,13,45,12,22,105
29/7/20,3272,9,9,46,10,29,103
30/7/20,3133,20,10,47,11,22,110
31/7/20,3645,15,14,61,9,8,107
1/8/20,3751,16,12,29,13,31,101
2/8/20,2883,16,7,63,11,21,118
3/8/20,4150,4,15,45,9,23,96
4/8/20,4723,16,11,54,15,27,123
5/8/20,4639,16,19,30,14,30,109
6/8/20,4620,11,18,51,11,18,109
7/8/20,5379,22,15,50,11,27,125
8/8/20,4296,9,14,53,7,12,95
9/8/20,4114,16,16,57,13,21,123
10/8/20,6145,17,13,43,20,28,121
11/8/20,6452,19,12,55,20,24,130
12/8/20,6510,21,15,71,5,26,138
13/8/20,6292,15,10,100,15,26,166
14/8/20,7148,19,10,68,9,29,135
15/8/20,5748,17,8,72,11,23,131
16/8/20,5052,30,15,85,18,24,172
17/8/20,7222,15,11,87,7,26,146
18/8/20,8419,21,17,70,10,26,144
19/8/20,8387,6,10,82,8,24,130
20/8/20,8325,15,22,57,15,34,143
21/8/20,9521,14,14,89,11,36,164
22/8/20,6782,20,12,96,13,35,176
23/8/20,6006,27,11,77,14,34,163
24/8/20,8256,18,10,57,5,34,124
25/8/20,10145,20,14,78,12,42,166
26/8/20,9698,27,11,66,12,29,145
27/8/20,9339,17,17,77,15,28,154
28/8/20,10806,12,11,83,9,31,146
29/8/20,7381,17,9,63,12,28,129
30/8/20,6483,22,14,88,9,34,167
31/8/20,8495,15,16,53,10,27,121
1/9/20,11350,20,16,60,13,33,142
2/9/20,10466,23,8,63,13,42,149
3/9/20,10337,27,15,59,12,38,151
4/9/20,11471,15,18,44,16,29,122
5/9/20,8795,20,11,59,13,28,131
6/9/20,7513,19,11,52,8,35,125
7/9/20,9525,14,8,61,10,26,119
8/9/20,11468,12,9,51,12,17,101
9/9/20,11815,15,7,67,18,34,141
10/9/20,11573,18,18,53,12,33,134
11/9/20,12122,20,7,51,7,34,119
12/9/20,9472,22,5,72,19,30,148
13/9/20,8200,41,12,74,5,27,159
14/9/20,10750,15,16,72,6,30,139
15/9/20,12401,27,10,54,16,39,146
16/9/20,12059,22,21,56,9,27,135
17/9/20,11588,16,23,51,14,35,139
18/9/20,14175,24,18,69,11,15,137
19/9/20,8630,32,18,61,9,18,138
20/9/20,7400,22,13,72,8,34,149
21/9/20,9985,18,13,69,10,21,131
22/9/20,12422,29,19,68,11,24,151
23/9/20,11669,16,13,61,13,27,130
24/9/20,11202,22,13,66,7,28,136
25/9/20,11843,22,16,50,9,26,123
26/9/20,7941,38,9,64,8,35,154
27/9/20,6430,37,24,44,11,20,136
28/9/20,9256,36,16,83,14,30,179
29/9/20,10667,30,17,100,11,23,181
30/9/20,10084,35,27,75,17,52,206
1/10/20,10689,31,26,62,12,34,165
2/10/20,11013,25,22,63,6,37,153
3/10/20,8143,40,22,76,4,58,200
4/10/20,7524,37,25,64,7,31,164
5/10/20,11246,28,31,75,9,28,171
6/10/20,12714,28,19,79,12,25,163
7/10/20,12415,36,26,89,19,34,204
8/10/20,12605,46,22,84,6,35,193
9/10/20,13503,35,19,76,14,26,170
10/10/20,10947,50,29,60,19,45,203
11/10/20,9033,39,13,73,17,41,183
12/10/20,11018,30,17,72,17,50,186
13/10/20,14378,29,21,71,10,47,178
14/10/20,16313,44,20,54,23,47,188
15/10/20,16397,36,15,54,15,32,152
16/10/20,17468,29,14,71,9,38,161
17/10/20,14287,31,27,81,13,52,204
18/10/20,13100,36,23,63,11,63,196
19/10/20,20827,29,23,69,16,31,168
20/10/20,22582,48,16,79,13,48,204
21/10/20,22178,35,18,64,11,24,152
22/10/20,21129,42,19,81,14,19,175
23/10/20,22193,38,12,74,15,38,177
24/10/20,17380,45,11,69,14,42,181
25/10/20,15477,51,22,83,15,32,203
26/10/20,22455,42,11,75,10,41,179
27/10/20,23079,34,10,59,6,37,146
28/10/20,22150,38,24,60,11,41,174
29/10/20,20552,28,20,50,13,36,147
